,country_name,independent,un_member,start_Of_Week,official_country_name,common_native_name,idd_root,idd_suffixes,capital,region,sub_region,languages,area,population,continents,currencies
0,South Georgia,False,False,monday,South Georgia and the South Sandwich Islands,South Georgia,+5,['00'],['King Edward Point'],Antarctic,,English,3903.0,30,['Antarctica'],"Saint Helena pound, £"
1,Grenada,True,True,monday,Grenada,Grenada,+1,['473'],"[""St. George's""]",Americas,Caribbean,English,344.0,112519,['North America'],"Eastern Caribbean dollar, $"
2,Switzerland,True,True,monday,Swiss Confederation,,+4,['1'],['Bern'],Europe,Western Europe,"French, Swiss German, Italian, Romansh",41284.0,8654622,['Europe'],"Swiss franc, Fr."
3,Sierra Leone,True,True,monday,Republic of Sierra Leone,Sierra Leone,+2,['32'],['Freetown'],Africa,Western Africa,English,71740.0,7976985,['Africa'],"Sierra Leonean leone, Le"
4,Hungary,True,True,monday,Hungary,,+3,['6'],['Budapest'],Europe,Central Europe,Hungarian,93028.0,9749763,['Europe'],"Hungarian forint, Ft"
5,Taiwan,False,False,monday,Republic of China (Taiwan),,+8,['86'],['Taipei'],Asia,Eastern Asia,Chinese,36193.0,23503349,['Asia'],"New Taiwan dollar, $"
6,Wallis and Futuna,False,False,monday,Territory of the Wallis and Futuna Islands,,+6,['81'],['Mata-Utu'],Oceania,Polynesia,French,142.0,11750,['Oceania'],"CFP franc, ₣"
7,Barbados,True,True,monday,Barbados,Barbados,+1,['246'],['Bridgetown'],Americas,Caribbean,English,430.0,287371,['North America'],"Barbadian dollar, $"
8,Pitcairn Islands,False,False,monday,Pitcairn Group of Islands,Pitcairn Islands,+6,['4'],['Adamstown'],Oceania,Polynesia,English,47.0,56,['Oceania'],"New Zealand dollar, $"
9,Ivory Coast,True,True,monday,Republic of Côte d'Ivoire,,+2,['25'],['Yamoussoukro'],Africa,Western Africa,French,322463.0,26378275,['Africa'],"West African CFA franc, Fr"
10,Tunisia,True,True,monday,Tunisian Republic,,+2,['16'],['Tunis'],Africa,Northern Africa,Arabic,163610.0,11818618,['Africa'],"Tunisian dinar, د.ت"
11,Italy,True,True,monday,Italian Republic,,+3,['9'],['Rome'],Europe,Southern Europe,Italian,301336.0,59554023,['Europe'],"Euro, €"
12,Benin,True,True,monday,Republic of Benin,,+2,['29'],['Porto-Novo'],Africa,Western Africa,French,112622.0,12123198,['Africa'],"West African CFA franc, Fr"
13,Indonesia,True,True,monday,Republic of Indonesia,,+6,['2'],['Jakarta'],Asia,South-Eastern Asia,Indonesian,1904569.0,273523621,['Asia'],"Indonesian rupiah, Rp"
14,Cape Verde,True,True,monday,Republic of Cabo Verde,,+2,['38'],['Praia'],Africa,Western Africa,Portuguese,4033.0,555988,['Africa'],"Cape Verdean escudo, Esc"
15,Saint Kitts and Nevis,True,True,monday,Federation of Saint Christopher and Nevis,Saint Kitts and Nevis,+1,['869'],['Basseterre'],Americas,Caribbean,English,261.0,53192,['North America'],"Eastern Caribbean dollar, $"
16,Laos,True,True,monday,Lao People's Democratic Republic,,+8,['56'],['Vientiane'],Asia,South-Eastern Asia,Lao,236800.0,7275556,['Asia'],"Lao kip, ₭"
17,Caribbean Netherlands,False,False,monday,"Bonaire, Sint Eustatius and Saba",,+5,['99'],['Kralendijk'],Americas,Caribbean,"English, Dutch, Papiamento",328.0,25987,['North America'],"United States dollar, $"
18,Uganda,True,True,monday,Republic of Uganda,Uganda,+2,['56'],['Kampala'],Africa,Eastern Africa,"English, Swahili",241550.0,45741000,['Africa'],"Ugandan shilling, Sh"
19,Andorra,True,True,monday,Principality of Andorra,,+3,['76'],['Andorra la Vella'],Europe,Southern Europe,Catalan,468.0,77265,['Europe'],"Euro, €"
20,Burundi,True,True,monday,Republic of Burundi,,+2,['57'],['Gitega'],Africa,Eastern Africa,"French, Kirundi",27834.0,11890781,['Africa'],"Burundian franc, Fr"
21,South Africa,True,True,monday,Republic of South Africa,South Africa,+2,['7'],"['Pretoria', 'Bloemfontein', 'Cape Town']",Africa,Southern Africa,"English, Afrikaans, Southern Ndebele, Northern Sotho, Southern Sotho, Swazi, Tswana, Tsonga, Venda, Xhosa, Zulu",1221037.0,59308690,['Africa'],"South African rand, R"
22,France,True,True,monday,French Republic,,+3,['3'],['Paris'],Europe,Western Europe,French,551695.0,67391582,['Europe'],"Euro, €"
23,Libya,True,True,sunday,State of Libya,,+2,['18'],['Tripoli'],Africa,Northern Africa,Arabic,1759540.0,6871287,['Africa'],"Libyan dinar, ل.د"
24,Mexico,True,True,monday,United Mexican States,,+5,['2'],['Mexico City'],Americas,North America,Spanish,1964375.0,128932753,['North America'],"Mexican peso, $"
25,Gabon,True,True,monday,Gabonese Republic,,+2,['41'],['Libreville'],Africa,Middle Africa,French,267668.0,2225728,['Africa'],"Central African CFA franc, Fr"
26,Northern Mariana Islands,False,False,monday,Commonwealth of the Northern Mariana Islands,Northern Mariana Islands,+1,['670'],['Saipan'],Oceania,Micronesia,"English, Carolinian, Chamorro",464.0,57557,['Oceania'],"United States dollar, $"
27,North Macedonia,True,True,monday,Republic of North Macedonia,,+3,['89'],['Skopje'],Europe,Southeast Europe,Macedonian,25713.0,2077132,['Europe'],"denar, den"
